"cluster","abs","ssgsea","cyto","tcell"
"C2",-0.514278181136059,1.1394564668063,-0.504925235843246,-1.07419334301578
"C2",0.357033644058442,-0.524910423080194,0.330625387990136,0.16607462909749
"C3",0.827713830119758,-0.558312036510995,0.847057808500066,0.951102837466724
"C3",1.09840733586717,-0.940426002853577,0.979143324003798,0.952613304333975
"C2",-0.323830314906836,-0.110612711018179,-0.0759963595534535,-0.240325310712755
"C1",-2.50010937034448,1.35824838813587,-2.1019880736829,-1.48980501049289
"C2",0.886541106238885,-1.0989769168565,0.145002796774555,0.362242260985159
"C3",0.646556385015938,-0.869607295001924,0.781178943001534,0.388834250072275
"C3",-0.0398965932610194,0.860331559967625,0.701588030090787,0.749846014146727
"C1",-2.05133798442399,1.34293358658372,-1.76269695201459,-2.00799512250578
"C3",1.11565738709058,-1.20646558666283,0.904718129267314,0.591285872915759
"C2",-1.09243853124293,-0.172089605183616,0.0491066228883637,-0.681488341799929
"C3",0.691158071859186,-0.328739136637186,1.00077092215162,0.926703280664709
"C2",-0.920910054794745,0.265080565315025,-0.512901640353278,-0.472079666522356
"C3",-0.0834567047783558,0.726948093155738,0.581985543621191,0.409681496751218
"C2",0.196170471607006,0.390740934205707,0.0365891462164326,-0.314326028682113
"C3",1.10349395112695,-2.22538807010231,0.845684920194202,0.391566373494961
"C2",-1.40668930878157,0.661972521125293,0.173559441995764,-0.323083615939531
"C1",-1.48660478438534,0.867045948845961,-0.97729504225456,-1.1083588083205
"C1",-0.616450323064493,1.57517475897941,-0.916027036840727,-0.766535706487399
"C3",0.510834943018577,0.217322991200937,0.745865720082414,1.25899265042535
"C1",-2.94053666288895,1.96066685993514,-1.99845382259196,-1.30449643785151
"C3",0.530459995229362,0.58039695746115,0.405898398853629,1.19215032657554
"C2",0.393366711417402,-0.0394426511363348,0.233329062742003,-0.553991664619181
"C3",0.639714682383917,-0.277635017121693,1.02252123386259,0.915179933904676
"C3",1.41863475245413,-2.81324032118532,0.528617642536143,0.483322380221556
"C1",-0.817820847684331,1.10551694160291,-0.920097325294706,-1.79665880545144
"C3",0.416714308782238,-0.933810027680071,1.15168835261491,0.858622573803186
"C2",-0.20442158570962,0.849553390992427,-0.341896026601232,0.268290803553514
"C1",-1.27069587585549,1.73642015864919,-0.776747311096023,-0.71097431441676
"C2",0.447262802471183,-0.0105068627726789,0.161626486980016,0.10465101762474
"C1",-0.948626536134597,0.577545987516125,-0.904772256074207,-0.927958370087453
"C2",0.308295579868217,0.263778708923612,0.485178486050824,0.45517831816366
"C3",0.844396625640203,-0.881162916655185,1.05368840711411,0.621771569627129
"C3",0.592016175151102,-0.191765935772462,0.247486495241691,0.123929145241646
"C3",0.835156364461711,-0.088525057747554,1.18257047858133,1.43259347082157
"C3",1.23487113098207,-1.16632526045949,1.28481440566784,1.44406931939549
"C3",0.850016859705717,-0.785218274838967,0.978180087194093,0.854242797891771
"C2",0.300424815804162,-0.197547458884669,0.984232126322961,0.326925154554269
"C2",-0.107379846901261,-0.191964997761788,-1.35760555727175,-1.30768827823511
"C3",0.75144468164903,-0.28788981669386,0.420038844487786,0.265960589134267
"C2",0.184581555238268,0.486910572881497,0.283348956132502,0.318874416707354
"C3",0.514901535578201,-0.59748229027475,1.18552210409894,1.02228541329264
"C3",0.0905175492450336,0.310725169174548,0.820156253141265,0.779593898232237
"C3",0.583019828454315,-0.300587489603412,0.75539953982733,0.773626982069193
"C2",-0.0577058380572456,0.348348884264187,0.0851332890394315,-0.0856075378043332
"C1",-1.93737050992941,1.51408599604739,-2.51321199028334,-2.28845935540309
"C3",0.474744261186479,-1.03389360221211,0.393408593016377,0.365029640132965
"C2",0.143273529174117,0.354081139337065,0.635867895091125,0.0681336281902918
"C2",-1.39571512813438,1.09914997538136,-0.429889843414928,-0.0201978424321473
"C2",0.636687053432111,-1.41832475391029,0.109029568764419,-0.244941788518457
"C3",0.40622489575418,0.284283533812213,0.468117032064096,0.712676069977916
"C3",0.254575574892222,0.492232404567603,0.649891951509498,0.935311118469284
"C3",0.559426581850657,-1.68747719939578,1.13027665939914,0.952289547766344
"C3",0.336784134574834,0.340039184873142,0.435968076481506,0.851681632546309
"C1",-1.33344906650417,1.92678140049577,-1.41696341999948,-1.35994501785215
"C1",-1.98777900986286,1.21174347286934,-1.4686987332051,-1.22043923466994
"C2",0.856149006196063,-0.365988379424488,-0.387872909514116,-0.286916524136287
"C3",0.544073293815299,-0.383869760845577,1.06511759982094,0.721806574202647
"C3",1.05337839543062,-1.01711410828568,1.60365188105489,1.59794504246306
"C1",-2.0440052568552,1.95548783347987,-1.81661967201012,-1.30135481069086
"C1",-1.71322493049017,0.929108323000521,-1.33732874446982,-1.61085573324909
"C2",0.443352168005754,-0.179734849879828,-0.0459962880362651,0.125480073514527
"C1",-0.455306354846084,0.435619762868009,-1.92765258229332,-0.0223395526566885
"C2",0.233698150204225,0.307100888821795,-0.038183358116782,0.490436675200437
"C2",-0.459147327147116,0.836850435891929,-0.0641851811471167,-0.494584554675241
"C3",0.792634101101382,-1.09978680027593,0.390735685146399,0.161976744510685
"C3",0.231761643447058,-0.288797258877666,0.740870065490909,0.099719837172975
"C2",0.245655660621036,0.0688012596596905,0.156558009423293,0.211135224030866
"C3",0.782697918318976,-0.50567289487226,0.783577754276719,0.72152668796761
"C3",0.195849916378139,0.436163327305739,0.613379331902016,0.736192963329029
"C3",0.827415643918328,-0.328438630095289,1.39687588017824,1.67023215060359
"C2",0.900117660048075,-1.38203702745258,-0.166752138582891,0.175193519216083
"C1",0.197371183995886,-0.394733566356643,-2.15149020617123,-3.81905686403472
"C3",1.18829141856647,-1.10302496772529,1.43900093833191,1.45043013152329
"C3",0.483937554208757,-0.837531625490849,0.532959484493695,0.46342837210162
"C1",-1.60828744333435,1.09940061542561,-0.826409303212812,-1.397394431343
"C3",1.37260477328942,-1.55074270964138,0.866610395997374,0.636235878624656
"C2",-0.192831341757926,0.0482263598279096,0.223446067472206,0.0821617385759179
"C2",0.847460145795148,-0.513338901210769,-0.308246318504411,-0.243056018567525
"C2",0.0459838391682658,0.700872427629069,0.293089541111898,0.710670263412129
"C1",-1.94081269934972,1.71849896885348,-2.1384854283489,-1.44188419407479
"C1",-1.58334080628104,0.793508485076568,-1.43805256055087,-1.4277109892838
"C2",-0.50079236589086,0.372946131431344,-0.16221258009218,-0.558810605883243
"C1",-1.55677248501607,1.37418082884919,-0.237995564355577,-0.287354597396656
"C2",0.331098674944762,-0.139814669168046,-0.371791908576276,-0.0443553257573342
"C1",-2.27581603101905,1.24383214418079,-3.1572570298188,-1.84555728686952
"C2",0.207029405381755,0.168029199723321,-0.015388057766259,0.307152232047512
"C2",0.000909964570301671,0.7765293122626,-0.138219490680528,0.227154759792427
"C3",1.27032763561188,-1.81915617476942,0.635063414295325,0.922296186283365
"C2",-0.252978768036137,1.19876064881905,-0.25380045977268,0.047434192237549
"C3",1.01747956474263,-1.21831072803493,0.938771870487226,0.493210473764305
"C3",0.535152056736856,-0.164740555447228,0.542650924140789,0.671558325781603
"C3",0.832240671328618,-0.415425073361469,1.19328761680875,1.59822104781394
"C2",0.547244907340775,-1.00820150991277,0.0313947901180096,0.447422281777781
"C1",-0.695034836707356,0.452797752923644,-1.31088583273878,-0.690747305612837
"C3",0.953066129949962,-1.09541868316865,1.30882972619754,0.97594983474644
"C1",-1.60303744169789,0.666965155473547,-1.43624240184796,-2.5223067090141
"C2",1.69105237112256,-2.32101117216501,-0.430949080147502,-0.0281292302239852
"C1",0.00847256718160081,0.529653433390916,-0.37106260808899,-1.25675955222395
"C1",-1.5938587517648,1.19144259486515,-0.772787823309897,-1.16120212733425
"C3",0.977006007891643,-2.03356044611678,1.44089876834863,1.13376111504513
"C1",-0.997585000388413,0.405827159882841,-1.76632826700969,-1.86866068437213
"C3",0.627482219547794,-0.683698966945219,0.354579887918721,0.279927569949166
"C2",0.652302133900968,0.186828619560832,-0.329558529927995,0.882889638432904
"C2",0.137545832107408,0.0940366930570231,0.225272664855199,0.392995698109235
"C2",0.640877731191906,-0.800434622453796,-0.0385851456955823,-0.10444943755002
"C1",-0.173994262193898,0.571311190060313,-1.10456092609888,-1.61575819361306
"C1",-0.509980831445487,-0.0732499991922192,-1.98145981683358,-2.42266131927417
"C2",-0.0974984152616518,0.387422782885628,0.398166885046046,0.161098825517894
"C2",0.328768656739324,-0.351276490265031,-0.680035012308061,0.119917294623574
"C2",-0.276115287321067,0.823125386063157,-0.507534211351325,0.417113310408606
"C2",0.660096225009547,-0.544574194426077,0.0750122067134701,0.476980029929283
"C1",-2.83088327731064,2.13861470663255,-0.761289278638039,-0.145159483108774
"C3",0.213299431846456,0.286032819101394,0.785061421534582,0.674526194091452
"C2",-0.304827851232944,0.703993997963504,-1.53945293212296,-0.769169179095841
"C3",0.391586132797974,0.00632326877416671,0.708411936718457,0.48456065511504
"C2",-0.756154196358355,1.08132544750073,0.718543299447769,0.074264677375865
"C2",-0.147846052368343,-0.244388194851683,0.185505408644688,-0.11722124661562
"C3",1.2276776665672,-2.74066462016953,1.04430207897817,0.783695342247274
"C3",1.0364211874116,-1.02394486964753,1.03740209632771,0.987730368422638
"C3",0.755011909278646,-0.308396160359039,0.653447706097343,0.531039426918224
"C3",1.14197440576246,-0.961728185445726,1.39749577354301,1.36220148334587
