"k","PAC","Silhouette"
"k2",0.545319062457662,0.744224237106388
"k3",0.599783227204986,0.533121709557286
"k4",0.497358081560764,0.505357677612481
"k5",0.397507112857336,0.552480987514836
"k6",0.329765614415391,0.60451574092484
