"patient","Kynurenine","Glycolysis","Glutamine","Adenosine","Tryptophan_metabolism","Hypoxia","EMT","Stemness","T_cell","NK_cell","Treg","Macrophage","Cytotoxicity","Exhaustion","Checkpoint","IFNG_response","IDO1","TDO2","Down_score","cluster","CD8frac","LymphFrac","resid_kyn_cd8","resid_kyn_lym"
"TCGA-A7-A0CE",1.1394564668063,0.110629336177367,-0.380686912966301,0.831039780099284,0.0996364437217063,0.870174791157313,-0.924640681461343,1.30915693364962,-1.07419334301578,-0.12547983946031,-0.542406375613783,-0.820301494120683,-0.504925235843246,-0.579184067337707,-0.678001689154725,-0.480288667433584,6.07799633839485,4.88603257392598,-1.38566274785509,"C2",0.0887044596753159,0.582517490648036,1.21876690911371,1.12487011052335
"TCGA-AR-A0U1",-0.524910423080194,0.226028343046005,-1.06526930207189,-0.458831334505598,-0.104935572396645,-0.766530232505732,-0.933649984920883,1.24382467972084,0.16607462909749,-0.68457920158021,-0.246012035460978,-0.407305081886142,0.330625387990136,-0.348903291095104,-0.396769088542228,-0.289282797283116,6.28088800744898,5.22171798439724,0.129681585627281,"C2",0.128247082500987,0.611029163343763,-0.261837944467885,-0.587569590726805
"TCGA-BH-A0B9",-0.558312036510995,-0.533533619231602,-0.148594540877233,1.57788907696123,0.345641729589908,0.184127951138212,-1.76441057678512,0.866049736262267,0.951102837466724,0.847650697058076,0.723539574412923,0.0233264876119324,0.847057808500066,0.797541533252472,0.634108395243419,0.593726769505442,6.20797928027211,5.43322719744679,-0.893768955987502,"C3",0.165490342374109,0.656159555938961,-0.122163095492805,-0.697064419492618
"TCGA-AR-A1AQ",-0.940426002853577,-0.647416239642868,-0.732790328492981,0.192305676536073,1.12217738946119,0.352519796927541,0.586902731067883,1.53232952643668,0.952613304333975,1.11101160017389,0.978112885072588,1.07612128605251,0.979143324003798,1.08254924987532,1.10500065970123,0.896942298141991,6.25136412510288,6.08201960930449,1.03547277014059,"C3",0.0803884769254185,0.627687122145943,-0.899761502944436,-1.03117173419454
"TCGA-BH-A18T",-0.110612711018179,-0.239528419229555,-0.108361518751596,2.02505223494451,-0.526060114428136,0.674829134609422,-0.601211706735554,0.1872191486526,-0.240325310712755,-0.0878100416180247,-0.0880081169434213,0.320319940773916,-0.0759963595534535,-0.525636885640626,-0.210306342747322,-0.598145869759785,5.39668449708012,5.32441175303236,-0.305193474709175,"C2",0.184977029666836,0.587563685091422,0.4160945461121,-0.133707328327055
"TCGA-A2-A04U",1.35824838813587,1.08803609151342,-0.555777357400105,0.864175666497844,-1.62597754735432,0.463395166807125,0.197354504931834,-0.485983364680991,-1.48980501049289,-1.4346238121737,-0.960633606908647,-1.05431648622705,-2.1019880736829,-1.9987590184494,-1.55734580290626,-1.75521288590166,4.84876456762074,4.27916842146274,-2.20262880821939,"C1",0.0819347310892771,0.63025027516134,1.40609862317058,1.26318098921966
"TCGA-A2-A04P",-1.0989769168565,0.78855068457148,0.568560733824777,0.368976899121098,0.747862157963204,-0.0789479861632818,0.196506095188455,0.267585705215755,0.362242260985159,-0.759265210117672,0.518554825219743,-0.589386145165033,0.145002796774555,0.544872388762994,0.360065215342079,0.104378655464705,6.27870954942426,5.21256898404507,1.05822665784576,"C2",0.0655490209527901,0.613517417429918,-1.12727417143717,-1.1658314668851
"TCGA-E2-A14R",-0.869607295001924,-0.9596028159431,-0.733207670293496,0.458288567409872,0.106410678198245,0.556545016677394,-0.21093842936512,-0.735642465276989,0.388834250072275,0.603983206896709,0.82967564342979,0.143888783911713,0.781178943001534,0.476816486987502,0.738749679383885,1.22067155062184,6.56035172697921,5.40306814330458,-0.114839618972199,"C3",0.100696277329092,0.627772154067324,-0.734568611278408,-0.960496396518324
"TCGA-E2-A1L7",0.860331559967625,0.0138198385887737,1.08589993165578,-0.320801926729939,0.639848662584127,-0.188921948633105,-0.0157053364656414,1.19263794145495,0.749846014146727,0.776532727169764,0.738921426001062,0.403742663457941,0.701588030090787,0.762304422086504,0.655823085897481,0.606980468831485,6.05967598537138,5.38936698516948,-0.461044658690267,"C3",0.167890922983739,0.521551572194339,1.30763645245329,0.948538299295546
"TCGA-AO-A12F",1.34293358658372,0.541438863424985,0.387195304585305,0.0294691454670833,-2.41604713612417,0.33116955306787,0.484981990643105,-0.0426021522395522,-2.00799512250578,-1.0705137728535,-2.5386759784891,-0.382382894829962,-1.76269695201459,-2.61413186356479,-1.81199913535973,-3.17350903376816,4.95293421610089,4.81797872980915,-0.788977348308756,"C1",0,0.594426127656056,1.01001765202371,1.30826837815505
